dataset,task,fold,mse,r2,accuracy,f1,roc_auc
bank_marketing,classification,12,,,0.9116290361738286,0.5229357798165137,0.9367184183216188
bank_marketing,classification,13,,,0.9066521000242778,0.5003248862897985,0.9339612127930562
bank_marketing,classification,14,,,0.907733398081826,0.49129852744310576,0.9303158953769798
bank_marketing,classification,15,,,0.9145319898021124,0.5325365205843293,0.9395992953892462
bank_marketing,classification,16,,,0.9082301529497451,0.48360655737704916,0.9275602622765224
bank_marketing,classification,17,,,0.9116290361738286,0.5204216073781291,0.9376345877164017
bank_marketing,classification,18,,,0.911750424860403,0.5104377104377105,0.9368341372234539
bank_marketing,classification,19,,,0.9085832220468617,0.5182341650671785,0.9353600131627988
bank_marketing,classification,20,,,0.9125895350248877,0.5419847328244275,0.9379088311057222
bank_marketing,classification,21,,,0.9098082058752124,0.514061478090255,0.932882594697863
bank_marketing,classification,22,,,0.9124787569798495,0.5284499672988882,0.9373562727015424
bank_marketing,classification,23,,,0.9128429230395727,0.5238726790450928,0.9336862882683146
bank_marketing,classification,24,,,0.9097972562826272,0.5127868852459017,0.9302356919433292
bank_marketing,classification,25,,,0.9106470802476629,0.5093333333333333,0.9407817063044616
bank_marketing,classification,26,,,0.9099295945617868,0.5073041168658698,0.936661664465305
bank_marketing,classification,27,,,0.9127215343529983,0.5285245901639344,0.9337013243549224
bank_marketing,classification,28,,,0.9113862588006798,0.5126835781041389,0.9361648839567904
bank_marketing,classification,29,,,0.9104042734005099,0.5170157068062827,0.9341055076169672
bank_marketing,classification,30,,,0.9102828699769333,0.5154098360655738,0.9345380754006634
bank_marketing,classification,31,,,0.9139354212187424,0.5295288652952886,0.9406186612576066
bank_marketing,classification,32,,,0.9083515416363195,0.5157152020525978,0.9307026569649511
bank_marketing,classification,33,,,0.9087157076960427,0.4918918918918919,0.9328085935657341
bank_marketing,classification,34,,,0.9111326939419692,0.5132978723404256,0.9373919317704672
bank_marketing,classification,35,,,0.9124681316013111,0.5321219987021415,0.9325260602186253
bank_marketing,classification,36,,,0.9099295945617868,0.517555266579974,0.9347492806264446
bank_marketing,classification,37,,,0.911143481427531,0.5171503957783641,0.9329539424029435
bank_marketing,classification,38,,,0.9082301529497451,0.4986737400530504,0.9344821689702344
bank_marketing,classification,39,,,0.9159888308850309,0.544137022397892,0.9381444286920707
bank_marketing,classification,40,,,0.9105256768240865,0.5089940039973351,0.9355381119639935
bank_marketing,classification,41,,,0.911750424860403,0.5226526592252134,0.93418233171376
bank_marketing,classification,42,,,0.9087157076960427,0.4966532797858099,0.9338071666116325
bank_marketing,classification,43,,,0.9084729303228939,0.4980026631158455,0.9326213795462049
bank_marketing,classification,44,,,0.9131965521427704,0.5255474452554745,0.939147856209397
bank_marketing,classification,45,,,0.9104042734005099,0.5305343511450382,0.9344027321063779
bank_marketing,classification,46,,,0.913814032532168,0.5328947368421053,0.9369504457757443
bank_marketing,classification,47,,,0.9129643117261471,0.5171717171717172,0.938898945704986
